                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 3.3216,                  2.537,                 1.8955,                0.10657,                0.33524,                0.20597,                0.10114,                  3.326,                  5.479,                 1.9196,             0.00095233,             0.00095233,             0.00095233
                     81,                 3.3151,                 2.6534,                 1.9757,                0.09938,                0.33363,                0.20523,                0.09505,                  3.502,                 5.3705,                 1.9239,             0.00096212,             0.00096212,             0.00096212
                     82,                 3.2236,                 2.4564,                 1.8788,                0.09938,                0.33363,                0.20523,                0.09505,                  3.502,                 5.3705,                 1.9239,             0.00097185,             0.00097185,             0.00097185
                     83,                  3.567,                 2.6109,                 1.9127,                0.09938,                0.33363,                0.20523,                0.09505,                  3.502,                 5.3705,                 1.9239,             0.00098153,             0.00098153,             0.00098153
                     84,                 3.1312,                 2.4871,                 1.9416,                0.09694,                0.32003,                0.19762,                0.08801,                 3.6023,                 5.2969,                 1.9278,             0.00099115,             0.00099115,             0.00099115
                     85,                 3.1204,                 2.4307,                 1.8996,                0.09694,                0.32003,                0.19762,                0.08801,                 3.6023,                 5.2969,                 1.9278,              0.0010007,              0.0010007,              0.0010007
                     86,                 3.2937,                 2.3933,                 1.8637,                0.09694,                0.32003,                0.19762,                0.08801,                 3.6023,                 5.2969,                 1.9278,              0.0010102,              0.0010102,              0.0010102
                     87,                  3.263,                 2.3727,                 1.9182,                0.09694,                0.32003,                0.19762,                0.08801,                 3.6023,                 5.2969,                 1.9278,              0.0010197,              0.0010197,              0.0010197
                     88,                  3.057,                 2.3479,                 1.8776,                0.11298,                0.36276,                0.23025,                0.10973,                 3.3353,                  5.012,                  1.913,              0.0010291,              0.0010291,              0.0010291
                     89,                 3.8542,                 2.5719,                 1.8901,                0.11298,                0.36276,                0.23025,                0.10973,                 3.3353,                  5.012,                  1.913,              0.0010384,              0.0010384,              0.0010384
                     90,                 2.9833,                 2.2664,                 1.8511,                0.11298,                0.36276,                0.23025,                0.10973,                 3.3353,                  5.012,                  1.913,              0.0010477,              0.0010477,              0.0010477
                     91,                  3.548,                 2.5024,                 1.9028,                0.11298,                0.36276,                0.23025,                0.10973,                 3.3353,                  5.012,                  1.913,              0.0010569,              0.0010569,              0.0010569
                     92,                 3.2293,                 2.4674,                 1.8929,                0.12935,                0.38943,                 0.2388,                0.12185,                 3.2291,                 4.8783,                 1.9011,              0.0010661,              0.0010661,              0.0010661
                     93,                 3.2209,                 2.4072,                 1.8651,                0.12935,                0.38943,                 0.2388,                0.12185,                 3.2291,                 4.8783,                 1.9011,              0.0010752,              0.0010752,              0.0010752
                     94,                   3.08,                 2.5366,                 1.9019,                0.12935,                0.38943,                 0.2388,                0.12185,                 3.2291,                 4.8783,                 1.9011,              0.0010843,              0.0010843,              0.0010843
                     95,                 3.4261,                 2.5237,                  1.921,                0.12935,                0.38943,                 0.2388,                0.12185,                 3.2291,                 4.8783,                 1.9011,              0.0010933,              0.0010933,              0.0010933
                     96,                 3.3779,                 2.5158,                 1.9084,                0.12865,                0.39855,                0.24042,                 0.1236,                 3.1838,                 4.7707,                 1.9122,              0.0011022,              0.0011022,              0.0011022
                     97,                 3.1975,                 2.3817,                 1.8699,                0.12865,                0.39855,                0.24042,                 0.1236,                 3.1838,                 4.7707,                 1.9122,              0.0011111,              0.0011111,              0.0011111
                     98,                 3.3836,                 2.4319,                  1.914,                0.12865,                0.39855,                0.24042,                 0.1236,                 3.1838,                 4.7707,                 1.9122,              0.0011199,              0.0011199,              0.0011199
                     99,                 3.1141,                 2.3393,                 1.8969,                0.12865,                0.39855,                0.24042,                 0.1236,                 3.1838,                 4.7707,                 1.9122,              0.0011287,              0.0011287,              0.0011287
                    100,                  3.304,                  2.318,                 1.8494,                 0.1281,                0.39869,                0.23491,                0.11407,                 3.3476,                  4.721,                 1.9649,              0.0011374,              0.0011374,              0.0011374
                    101,                 3.1613,                 2.2903,                 1.8973,                 0.1281,                0.39869,                0.23491,                0.11407,                 3.3476,                  4.721,                 1.9649,              0.0011461,              0.0011461,              0.0011461
                    102,                 3.4241,                 2.4718,                 1.9231,                 0.1281,                0.39869,                0.23491,                0.11407,                 3.3476,                  4.721,                 1.9649,              0.0011432,              0.0011432,              0.0011432
                    103,                  3.156,                 2.4172,                 1.8996,                 0.1281,                0.39869,                0.23491,                0.11407,                 3.3476,                  4.721,                 1.9649,              0.0011404,              0.0011404,              0.0011404
                    104,                 3.1462,                 2.3282,                 1.8587,                0.12931,                0.42302,                0.24324,                0.11667,                 3.5182,                 4.5786,                 1.9884,              0.0011376,              0.0011376,              0.0011376
                    105,                 3.0826,                  2.262,                 1.8938,                0.12931,                0.42302,                0.24324,                0.11667,                 3.5182,                 4.5786,                 1.9884,              0.0011347,              0.0011347,              0.0011347
                    106,                 3.2455,                 2.3233,                 1.8678,                0.12931,                0.42302,                0.24324,                0.11667,                 3.5182,                 4.5786,                 1.9884,              0.0011319,              0.0011319,              0.0011319
                    107,                 3.0199,                 2.2693,                 1.9111,                0.12931,                0.42302,                0.24324,                0.11667,                 3.5182,                 4.5786,                 1.9884,              0.0011291,              0.0011291,              0.0011291
                    108,                 3.2969,                 2.3215,                 1.8891,                0.12811,                0.43726,                0.25434,                0.12839,                  3.399,                 4.3227,                 1.9903,              0.0011263,              0.0011263,              0.0011263
                    109,                 2.9395,                 2.1961,                  1.893,                0.12811,                0.43726,                0.25434,                0.12839,                  3.399,                 4.3227,                 1.9903,              0.0011234,              0.0011234,              0.0011234
                    110,                 3.2104,                 2.2986,                 1.9276,                0.12811,                0.43726,                0.25434,                0.12839,                  3.399,                 4.3227,                 1.9903,              0.0011206,              0.0011206,              0.0011206
                    111,                 3.6212,                  2.684,                 1.9204,                0.12811,                0.43726,                0.25434,                0.12839,                  3.399,                 4.3227,                 1.9903,              0.0011178,              0.0011178,              0.0011178
                    112,                 3.0038,                  2.239,                 1.8678,                0.13254,                0.46091,                0.28137,                0.13739,                 3.4432,                 4.1284,                 1.9783,              0.0011149,              0.0011149,              0.0011149
                    113,                 3.3071,                 2.3401,                 1.9031,                0.13254,                0.46091,                0.28137,                0.13739,                 3.4432,                 4.1284,                 1.9783,              0.0011121,              0.0011121,              0.0011121
                    114,                 2.9705,                 2.2043,                 1.8902,                0.13254,                0.46091,                0.28137,                0.13739,                 3.4432,                 4.1284,                 1.9783,              0.0011093,              0.0011093,              0.0011093
                    115,                 3.0881,                 2.1861,                 1.8801,                0.13254,                0.46091,                0.28137,                0.13739,                 3.4432,                 4.1284,                 1.9783,              0.0011064,              0.0011064,              0.0011064
                    116,                 3.0589,                  2.242,                 1.8937,                0.13551,                 0.4707,                0.31094,                0.15389,                 3.2879,                 3.8802,                  1.977,              0.0011036,              0.0011036,              0.0011036
                    117,                 3.0771,                 2.2508,                 1.8831,                0.13551,                 0.4707,                0.31094,                0.15389,                 3.2879,                 3.8802,                  1.977,              0.0011008,              0.0011008,              0.0011008
                    118,                 2.8928,                 2.2503,                 1.8939,                0.13551,                 0.4707,                0.31094,                0.15389,                 3.2879,                 3.8802,                  1.977,               0.001098,               0.001098,               0.001098
                    119,                 3.3304,                 2.3448,                 1.8901,                0.13551,                 0.4707,                0.31094,                0.15389,                 3.2879,                 3.8802,                  1.977,              0.0010951,              0.0010951,              0.0010951
                    120,                 3.1355,                 2.3047,                 1.8831,                0.23833,                0.46208,                0.34935,                0.17805,                 3.2554,                 3.5499,                 1.9623,              0.0010923,              0.0010923,              0.0010923
                    121,                 3.1246,                   2.26,                 1.9013,                0.23833,                0.46208,                0.34935,                0.17805,                 3.2554,                 3.5499,                 1.9623,              0.0010895,              0.0010895,              0.0010895
                    122,                 3.2137,                 2.2234,                   1.85,                0.23833,                0.46208,                0.34935,                0.17805,                 3.2554,                 3.5499,                 1.9623,              0.0010866,              0.0010866,              0.0010866
                    123,                 3.2212,                 2.2251,                 1.8567,                0.23833,                0.46208,                0.34935,                0.17805,                 3.2554,                 3.5499,                 1.9623,              0.0010838,              0.0010838,              0.0010838
                    124,                  3.051,                   2.19,                 1.8739,                0.71899,                0.35352,                0.36586,                0.18334,                 3.3531,                 3.3415,                 1.9783,               0.001081,               0.001081,               0.001081
